case,damping,tau1,tau2,step,q1,q2,dq1,dq2,energy
unforced_nodamp,0.0,0.0,0.0,0,0.3,-0.8,2.0,-1.5,3.0566866880069155
unforced_nodamp,0.0,0.0,0.0,50,1.3453522774637037,0.780394525418171,1.095375161153986,1.5975840659630274,3.0566866931276393
unforced_nodamp,0.0,0.0,0.0,100,-2.9404055691217836,-0.7595451257902006,2.0423186385685144,-1.6965369642885064,3.056686675712185
unforced_nodamp,0.0,0.0,0.0,150,-1.8705930721954378,0.737433906820522,1.0138458566138353,1.796946116630075,3.0566866819113576
unforced_nodamp,0.0,0.0,0.0,200,0.10127836220353181,-0.7140419415170376,2.08665760996847,-1.8988873209735138,3.056686663065228
unforced_nodamp,0.0,0.0,0.0,250,1.1987590074058856,0.6893494443232546,0.928567609241935,2.0024180748523785,3.0566866704243045
unforced_nodamp,0.0,0.0,0.0,300,-3.1413770679029573,-0.663336069523714,2.133562173949655,-2.1075688442688625,3.0566866498277134
unforced_nodamp,0.0,0.0,0.0,350,-2.0128706496749444,0.6359813084253272,0.8398512228414576,2.214331546482222,3.056686658418671
unforced_nodamp,0.0,0.0,0.0,400,-0.10207173378439904,-0.6072650822886754,2.183436014854571,-2.32264482922607,3.056686635743485
unforced_nodamp,0.0,0.0,0.0,450,1.060968785892534,0.5771685147283523,0.7482984151380995,2.432375276281092,3.056686645555424
unforced_nodamp,0.0,0.0,0.0,500,2.935931554732515,-0.5456750032981228,2.2363997405966867,-2.543294155547764,3.0566866207292067
unforced_damped,0.1,0.0,0.0,0,0.3,-0.8,3.0,-2.0,7.211726730687413
unforced_damped,0.1,0.0,0.0,20,1.0863945047746082,-0.24987473306553332,0.7757899126388046,4.406218311059664,6.824416971673612
unforced_damped,0.1,0.0,0.0,40,1.6856277874117414,0.6736534459280854,2.443799168025701,-0.5451683075034878,6.395376956204935
unforced_damped,0.1,0.0,0.0,60,2.819651628553533,-0.22667914638161246,2.7294590229524816,-2.11317676551612,5.849474386999889
unforced_damped,0.1,0.0,0.0,80,-2.63648547809322,-0.20462588666518666,1.4808369198584392,1.7913106204255824,5.618622853421197
unforced_damped,0.1,0.0,0.0,100,-1.990340450019853,0.3241311881154427,2.021816242782645,0.0510749768407517,5.427692062436108
unforced_damped,0.1,0.0,0.0,120,-1.0811567095113177,-0.027646893574473808,2.297265468962505,-1.0665879658794521,5.18376986765742
unforced_damped,0.1,0.0,0.0,140,-0.2775458334450702,-0.09825994528635551,1.7386619685283333,0.6356045413971995,5.008887903031561
unforced_damped,0.1,0.0,0.0,160,0.41561325917118364,0.1457179431348803,1.8535771337004991,0.19762328859975897,4.872617818026105
unforced_damped,0.1,0.0,0.0,180,1.2072986124510852,0.04197573329523596,2.0236012374800354,-0.46439243543380815,4.711382118465118
unforced_damped,0.1,0.0,0.0,200,1.9766732400420226,-0.03474485990967313,1.8057727272748783,0.13979874373306123,4.560321237346649
