version,episode,step,dist,prev_dist,prev_pot,speed,tau1,tau2,collided,settled,success,shaping_weight,collision_penalty,vel_weight,time_cost,goal_focus,max_torque,reward
v1_sparse,0,1,1.8023797450807917,1.8017785072621708,-1.8017785072621708,0.21294897189318918,-7.698416665902247,0.3076795872180677,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,2,1.8038540193058465,1.8023797450807917,-1.8017785072621708,0.18501695769417506,3.556278220208284,0.7325721291151347,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,3,1.8105242046491414,1.8038540193058465,-1.8017785072621708,0.781137800986163,4.1459706783519925,8.0,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,4,1.825378909442806,1.8105242046491414,-1.8017785072621708,1.3444775461885854,-7.0983521311891264,4.538270278300128,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,5,1.8449716057707382,1.825378909442806,-1.8017785072621708,1.690656984656432,-7.997450195126229,1.6499739909728623,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,6,1.8702574358304374,1.8449716057707382,-1.8017785072621708,2.3515383427009198,-2.459729804567317,6.354042992105146,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,7,1.9015396814849734,1.8702574358304374,-1.8017785072621708,2.728287667423928,-4.129344929208112,2.4935673552881283,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,8,1.9294767596072504,1.9015396814849734,-1.8017785072621708,2.131655264642733,-6.072689844237705,-8.0,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,9,1.9574391292416926,1.9294767596072504,-1.8017785072621708,2.9265560817285996,2.0867229599602752,8.0,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,10,1.9866598815382561,1.9574391292416926,-1.8017785072621708,2.36000598344596,2.4966439499304967,-4.810395810021313,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,11,2.0142582410347942,1.9866598815382561,-1.8017785072621708,2.7670238457763303,1.2880585938822515,3.682438562304461,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,12,2.039165523605461,2.0142582410347942,-1.8017785072621708,1.926958359026208,5.718105728575955,-5.555571875025351,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,13,2.0597879887029498,2.039165523605461,-1.8017785072621708,2.025578072025615,3.3421410972266035,1.686641691802222,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,14,2.0808726660172447,2.0597879887029498,-1.8017785072621708,2.0538244533534953,-0.15559239845403655,0.06327157976995067,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,15,2.099779832935239,2.0808726660172447,-1.8017785072621708,1.7962742639142557,-3.260399854536541,-2.9785537321283004,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,16,2.116551259440595,2.099779832935239,-1.8017785072621708,1.7050547241320704,6.3898282395260635,1.2424248612848379,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,17,2.1272703847794263,2.116551259440595,-1.8017785072621708,0.6548818595807239,-2.311122802174115,-8.0,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,18,2.130812174542236,2.1272703847794263,-1.8017785072621708,0.49076911968706144,-4.207506115535933,-2.426443811936932,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,19,2.1290377758448384,2.130812174542236,-1.8017785072621708,0.26202712731610234,-6.159020015762976,-6.3855764399010315,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,20,2.1217986163113665,2.1290377758448384,-1.8017785072621708,0.5542295836313358,3.9647644050197535,-1.1866320708480547,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,21,2.1093837161846842,2.1217986163113665,-1.8017785072621708,1.1125394417175547,-8.0,-6.408733757302516,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,22,2.097567161826659,2.1093837161846842,-1.8017785072621708,0.3358817529952039,-1.438266669953434,5.351073112856299,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,23,2.096863144084487,2.097567161826659,-1.8017785072621708,1.1748994631638805,-7.23076246355598,7.6325379623118454,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,24,2.097123886633326,2.096863144084487,-1.8017785072621708,0.31528945082682147,-2.339160848106734,-8.0,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,25,2.0965152088989196,2.097123886633326,-1.8017785072621708,1.0208434421058568,2.462833029837876,6.898041207305775,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
v1_sparse,0,26,2.103270066903507,2.0965152088989196,-1.8017785072621708,1.514549423838284,-1.0646597241910178,3.1143192077965507,0,0,0,10.0,20.0,0.1,0.03,0.0,8.0,0.0
